,Date,Max Temp (F),Mean Temp (F),Min Temp (F),Max Humidity,Mean Humidity,Min Humidity,Max Pressure (In),Mean Pressure (In),Min Pressure (In),Precipitation (In),City,Season
0,2010-01-02,33,25.0,17,89,68,46,29.7,29.67,29.62,0.01,New York City (USA),Winter
1,2010-01-03,24,21.0,18,62,53,44,29.64,29.55,29.47,0.0,New York City (USA),Winter
2,2010-01-04,32,26.0,20,62,53,43,29.76,29.71,29.66,0.0,New York City (USA),Winter
3,2010-01-05,32,27.0,21,62,53,43,29.76,29.73,29.68,0.0,New York City (USA),Winter
4,2010-01-06,36,31.0,26,63,52,40,29.8,29.73,29.68,0.0,New York City (USA),Winter
5,2010-01-07,40,35.0,29,69,59,48,29.91,29.87,29.79,0.0,New York City (USA),Winter
6,2010-01-08,33,28.0,23,92,69,46,29.9,29.77,29.68,0.03,New York City (USA),Winter
7,2010-01-09,32,26.0,19,62,45,28,30.2,30.06,29.91,0.0,New York City (USA),Winter
8,2010-01-10,30,22.0,14,51,39,27,30.29,30.23,30.2,0.0,New York City (USA),Winter
9,2010-01-11,32,27.0,21,57,47,36,30.21,30.14,30.09,0.0,New York City (USA),Winter
10,2010-01-12,37,31.0,24,58,49,39,30.15,30.06,29.99,0.0,New York City (USA),Winter
11,2010-01-13,36,30.0,24,59,50,41,30.23,30.18,30.14,0.0,New York City (USA),Winter
12,2010-01-14,39,32.0,25,82,65,47,30.29,30.24,30.19,0.0,New York City (USA),Winter
13,2010-01-15,50,39.0,27,85,64,42,30.22,30.15,30.07,0.0,New York City (USA),Winter
14,2010-01-16,49,41.0,33,76,59,42,30.22,30.17,30.1,0.0,New York City (USA),Winter
15,2010-01-17,42,37.0,31,92,78,64,30.13,29.92,29.52,0.64,New York City (USA),Winter
16,2010-01-18,50,43.0,36,92,74,56,29.95,29.71,29.44,0.02,New York City (USA),Winter
17,2010-01-19,46,40.0,33,92,77,62,29.96,29.91,29.84,0.0,New York City (USA),Winter
18,2010-01-20,44,39.0,33,82,60,37,30.08,29.96,29.88,0.0,New York City (USA),Winter
19,2010-01-21,43,36.0,29,75,56,36,30.26,30.18,30.09,0.0,New York City (USA),Winter
20,2010-01-22,45,39.0,32,69,49,28,30.12,29.98,29.87,0.0,New York City (USA),Winter
21,2010-01-23,42,34.0,26,75,53,30,30.32,30.25,30.13,0.0,New York City (USA),Winter
22,2010-01-24,49,38.0,27,93,84,75,30.28,30.12,29.88,0.0,New York City (USA),Winter
23,2010-01-25,53,49.0,45,100,86,71,29.85,29.43,29.26,0.85,New York City (USA),Winter
24,2010-01-26,47,41.0,35,79,59,39,29.86,29.68,29.46,0.01,New York City (USA),Winter
25,2010-01-27,42,36.0,30,63,52,41,30.17,30.06,29.88,0.0,New York City (USA),Winter
26,2010-01-28,43,32.0,20,92,60,28,30.19,30.04,29.87,0.08,New York City (USA),Winter
27,2010-01-29,25,21.0,16,43,36,29,30.31,30.26,30.19,0.0,New York City (USA),Winter
28,2010-01-30,20,17.0,14,46,40,33,30.31,30.18,29.99,0.0,New York City (USA),Winter
29,2010-01-31,30,23.0,15,47,38,29,30.14,30.09,29.98,0.0,New York City (USA),Winter
30,2010-02-01,37,31.0,25,50,41,32,30.31,30.23,30.14,0.0,New York City (USA),Winter
31,2010-02-02,33,29.0,25,63,51,39,30.3,30.23,30.11,0.0,New York City (USA),Winter
32,2010-02-03,40,34.0,28,85,66,47,30.17,30.06,29.99,0.03,New York City (USA),Winter
33,2010-02-04,38,34.0,29,58,39,20,30.36,30.3,30.17,0.0,New York City (USA),Winter
34,2010-02-05,37,33.0,29,61,49,36,30.33,30.21,29.99,0.0,New York City (USA),Winter
35,2010-02-06,33,27.0,21,75,59,42,29.94,29.78,29.64,0.11,New York City (USA),Winter
36,2010-02-07,35,26.0,16,56,46,35,29.94,29.87,29.79,0.0,New York City (USA),Winter
37,2010-02-08,39,31.0,23,59,46,32,30.06,29.96,29.92,0.0,New York City (USA),Winter
38,2010-02-09,40,34.0,28,92,66,40,30.09,29.97,29.8,0.02,New York City (USA),Winter
39,2010-02-10,33,32.0,30,100,93,85,29.77,29.29,29.02,1.16,New York City (USA),Winter
40,2010-02-11,37,33.0,28,92,68,43,29.74,29.55,29.3,0.0,New York City (USA),Winter
41,2010-02-12,36,31.0,25,57,48,38,29.86,29.81,29.76,0.0,New York City (USA),Winter
42,2010-02-13,32,28.0,24,60,52,43,29.76,29.59,29.5,0.0,New York City (USA),Winter
43,2010-02-14,39,33.0,27,63,54,44,29.74,29.61,29.51,0.0,New York City (USA),Winter
44,2010-02-15,37,32.0,27,92,72,52,29.83,29.75,29.65,0.08,New York City (USA),Winter
45,2010-02-16,34,32.0,30,92,75,58,29.62,29.48,29.38,0.4,New York City (USA),Winter
46,2010-02-17,34,30.0,26,75,66,56,29.63,29.56,29.5,0.0,New York City (USA),Winter
47,2010-02-18,40,36.0,31,66,59,52,29.68,29.59,29.5,0.0,New York City (USA),Winter
48,2010-02-19,43,39.0,35,59,54,49,29.89,29.76,29.67,0.0,New York City (USA),Winter
49,2010-02-20,45,40.0,35,70,60,49,29.97,29.94,29.9,0.0,New York City (USA),Winter
50,2010-02-21,47,40.0,33,64,45,26,29.99,29.95,29.89,0.0,New York City (USA),Winter
51,2010-02-22,44,36.0,28,76,60,43,30.0,29.95,29.9,0.04,New York City (USA),Winter
52,2010-02-23,39,38.0,36,92,87,82,29.88,29.81,29.72,1.17,New York City (USA),Winter
53,2010-02-24,42,40.0,38,92,86,79,29.75,29.72,29.67,0.49,New York City (USA),Winter
54,2010-02-25,38,33.0,28,100,93,85,29.67,29.34,28.96,1.59,New York City (USA),Winter
55,2010-02-26,34,30.0,25,92,82,72,29.44,29.17,28.92,0.85,New York City (USA),Winter
56,2010-02-27,37,33.0,29,78,74,69,29.64,29.53,29.44,0.01,New York City (USA),Winter
57,2010-02-28,40,35.0,30,85,72,59,29.66,29.62,29.59,0.0,New York City (USA),Winter
58,2010-03-01,49,43.0,36,70,58,45,29.88,29.72,29.62,0.0,New York City (USA),Winter
59,2010-03-02,47,41.0,34,79,64,49,29.94,29.87,29.77,0.0,New York City (USA),Winter
60,2010-03-03,41,38.0,34,89,74,59,29.76,29.61,29.54,0.03,New York City (USA),Winter
61,2010-03-04,49,43.0,36,64,49,33,29.86,29.7,29.59,0.0,New York City (USA),Winter
62,2010-03-05,49,42.0,34,70,47,24,30.09,29.97,29.87,0.0,New York City (USA),Winter
63,2010-03-06,55,43.0,31,43,30,16,30.16,30.1,30.05,0.0,New York City (USA),Winter
64,2010-03-07,59,47.0,35,53,38,22,30.1,30.01,29.92,0.0,New York City (USA),Winter
65,2010-03-08,63,51.0,39,70,47,23,29.94,29.88,29.8,0.0,New York City (USA),Winter
66,2010-03-09,62,51.0,40,76,51,25,29.99,29.95,29.88,0.0,New York City (USA),Winter
67,2010-03-10,54,46.0,37,85,60,35,30.07,30.03,29.98,0.0,New York City (USA),Winter
68,2010-03-11,53,48.0,43,89,74,59,30.1,30.07,30.04,0.0,New York City (USA),Winter
69,2010-03-12,48,45.0,42,92,84,76,30.12,30.09,30.01,0.5,New York City (USA),Winter
70,2010-03-13,52,46.0,40,92,86,80,30.01,29.7,29.48,1.74,New York City (USA),Winter
71,2010-03-14,50,46.0,42,93,85,76,29.57,29.52,29.44,0.37,New York City (USA),Winter
72,2010-03-15,45,44.0,42,89,80,70,29.83,29.62,29.49,0.27,New York City (USA),Winter
73,2010-03-16,63,52.0,41,70,44,17,30.04,29.94,29.84,0.0,New York City (USA),Winter
74,2010-03-17,63,50.0,37,79,51,23,30.05,29.98,29.9,0.0,New York City (USA),Winter
75,2010-03-18,66,53.0,40,76,51,26,29.9,29.82,29.74,0.0,New York City (USA),Winter
76,2010-03-19,69,56.0,42,83,52,20,29.91,29.84,29.78,0.0,New York City (USA),Winter
77,2010-03-20,70,58.0,45,71,50,29,30.05,29.99,29.92,0.0,New York City (USA),Spring
78,2010-03-21,58,52.0,45,80,68,55,30.12,30.07,30.03,0.0,New York City (USA),Spring
79,2010-03-22,57,53.0,48,93,85,77,30.06,29.9,29.67,1.03,New York City (USA),Spring
80,2010-03-23,51,48.0,45,96,84,71,29.67,29.55,29.47,0.1,New York City (USA),Spring
81,2010-03-24,62,53.0,43,65,42,19,30.01,29.78,29.56,0.0,New York City (USA),Spring
82,2010-03-25,54,48.0,41,86,65,44,30.04,29.9,29.63,0.01,New York City (USA),Spring
83,2010-03-26,55,45.0,34,89,57,24,30.14,29.8,29.6,0.05,New York City (USA),Spring
84,2010-03-27,40,35.0,29,64,44,24,30.44,30.37,30.17,0.0,New York City (USA),Spring
85,2010-03-28,48,42.0,35,86,74,62,30.44,30.25,29.99,0.14,New York City (USA),Spring
86,2010-03-29,52,50.0,47,96,91,86,29.97,29.78,29.68,2.08,New York City (USA),Spring
87,2010-03-30,52,48.0,43,96,91,86,29.69,29.44,29.29,2.29,New York City (USA),Spring
88,2010-03-31,59,52.0,44,92,77,61,30.01,29.74,29.48,0.01,New York City (USA),Spring
89,2010-04-01,63,54.0,45,82,67,52,30.13,30.08,30.02,0.0,New York City (USA),Spring
90,2010-04-02,61,52.0,42,96,75,53,30.24,30.19,30.13,0.0,New York City (USA),Spring
91,2010-04-03,51,48.0,44,100,89,77,30.21,30.15,30.09,0.0,New York City (USA),Spring
92,2010-04-04,73,60.0,47,100,68,36,30.17,30.11,30.08,0.0,New York City (USA),Spring
93,2010-04-05,68,60.0,52,89,60,31,30.18,30.06,29.94,0.0,New York City (USA),Spring
94,2010-04-06,73,62.0,51,89,73,57,29.96,29.86,29.74,0.0,New York City (USA),Spring
95,2010-04-07,87,70.0,52,84,53,21,29.75,29.7,29.64,0.0,New York City (USA),Spring
96,2010-04-08,69,61.0,53,89,76,63,29.73,29.67,29.6,0.0,New York City (USA),Spring
97,2010-04-09,62,54.0,46,93,63,33,29.89,29.71,29.63,0.41,New York City (USA),Spring
98,2010-04-10,62,52.0,42,54,38,22,30.25,30.15,29.93,0.0,New York City (USA),Spring
99,2010-04-11,73,60.0,46,66,44,22,30.24,30.19,30.11,0.0,New York City (USA),Spring
100,2010-04-12,67,57.0,46,61,40,18,30.39,30.31,30.26,0.0,New York City (USA),Spring
101,2010-04-13,55,50.0,45,70,53,35,30.53,30.48,30.4,0.0,New York City (USA),Spring
102,2010-04-14,65,54.0,43,83,50,17,30.57,30.48,30.35,0.0,New York City (USA),Spring
103,2010-04-15,73,61.0,49,61,39,17,30.35,30.25,30.16,0.0,New York City (USA),Spring
104,2010-04-16,52,49.0,46,86,70,54,30.2,29.95,29.75,0.44,New York City (USA),Spring
105,2010-04-17,55,51.0,46,93,67,41,29.9,29.75,29.67,0.01,New York City (USA),Spring
106,2010-04-18,58,51.0,44,58,49,40,29.95,29.88,29.84,0.0,New York City (USA),Spring
107,2010-04-19,63,55.0,47,54,43,32,30.0,29.95,29.92,0.0,New York City (USA),Spring
108,2010-04-20,67,58.0,48,80,56,32,30.01,29.95,29.89,0.0,New York City (USA),Spring
109,2010-04-21,64,56.0,47,83,66,48,29.89,29.83,29.77,0.06,New York City (USA),Spring
110,2010-04-22,66,58.0,50,96,60,24,29.77,29.73,29.67,0.09,New York City (USA),Spring
111,2010-04-23,69,57.0,44,53,36,19,30.0,29.86,29.78,0.0,New York City (USA),Spring
112,2010-04-24,63,56.0,48,77,50,23,30.14,30.05,29.94,0.0,New York City (USA),Spring
113,2010-04-25,52,49.0,46,93,87,80,29.91,29.65,29.43,1.55,New York City (USA),Spring
114,2010-04-26,53,51.0,49,93,88,83,29.44,29.34,29.26,0.78,New York City (USA),Spring
115,2010-04-27,60,51.0,42,83,56,28,29.57,29.36,29.26,0.04,New York City (USA),Spring
116,2010-04-28,57,49.0,40,53,37,20,29.75,29.59,29.52,0.0,New York City (USA),Spring
117,2010-04-29,71,59.0,47,39,27,14,29.87,29.78,29.7,0.0,New York City (USA),Spring
118,2010-04-30,74,62.0,50,77,50,22,29.91,29.84,29.78,0.0,New York City (USA),Spring
119,2010-05-01,80,67.0,54,80,60,39,29.86,29.83,29.78,0.0,New York City (USA),Spring
120,2010-05-02,75,67.0,58,84,74,64,29.87,29.82,29.77,0.0,New York City (USA),Spring
