postalCode,Population,,,,,,,,
10028,46169,,,,,,,,
10128,62447,,,,,,,,
10075,24377,,,,,,,,
10025,97373,,,,,,,,
10023,60762,,,,,,,,
10040,45278,,,,,,,,
10026,38372,,,,,,,,
10162,1252,,,,,,,,
10021,42142,,,,,,,,
10030,29530,,,,,,,,
10005,7570,,,,,,,,
10009,61806,,,,,,,,
10033,60520,,,,,,,,
10003,57068,,,,,,,,
10029,77857,,,,,,,,
10016,50112,,,,,,,,
10002,79894,,,,,,,,
10031,58912,,,,,,,,
10456,91737,,,,,,,,
10032,59069,,,,,,,,
11109,4337,,,,,,,,
10453,79002,,,,,,,,
11372,63202,,,,,,,,
10065,31761,,,,,,,,
10011,52941,,,,,,,,
10010,30708,,,,,,,,
10012,24846,,,,,,,,
10452,75252,,,,,,,,
11226,98299,,,,,,,,
10458,76276,,,,,,,,
10027,63057,,,,,,,,
10038,20997,,,,,,,,
10024,59249,,,,,,,,
10037,18041,,,,,,,,
11104,26555,,,,,,,,
10022,29699,,,,,,,,
10282,5903,,,,,,,,
11225,59613,,,,,,,,
10457,71015,,,,,,,,
11219,98719,,,,,,,,
10468,72683,,,,,,,,
10472,69659,,,,,,,,
11373,100713,,,,,,,,
10280,8817,,,,,,,,
11221,83773,,,,,,,,
10459,48269,,,,,,,,
11216,54440,,,,,,,,
11206,83180,,,,,,,,
11213,62756,,,,,,,,
11212,87751,,,,,,,,
10019,38752,,,,,,,,
11220,101715,,,,,,,,
10455,39951,,,,,,,,
10039,25952,,,,,,,,
10014,31835,,,,,,,,
11237,55258,,,,,,,,
10036,24127,,,,,,,,
11103,38257,,,,,,,,
10069,5523,,,,,,,,
11218,75132,,,,,,,,
11233,69637,,,,,,,,
10462,76114,,,,,,,,
11217,38567,,,,,,,,
10017,16278,,,,,,,,
11204,80349,,,,,,,,
10044,12050,,,,,,,,
10013,26937,,,,,,,,
11355,83799,,,,,,,,
11230,87064,,,,,,,,
10451,47818,,,,,,,,
11238,51959,,,,,,,,
11205,43320,,,,,,,,
10463,71238,,,,,,,,
11374,41792,,,,,,,,
10460,58676,,,,,,,,
11106,38633,,,,,,,,
11102,35027,,,,,,,,
11419,48370,,,,,,,,
10467,99251,,,,,,,,
11368,110385,,,,,,,,
10007,6748,,,,,,,,
11210,67042,,,,,,,,
11214,88297,,,,,,,,
11211,94681,,,,,,,,
13024,1649,,,,,,,,
11201,56488,,,,,,,,
11416,25973,,,,,,,,
10034,42672,,,,,,,,
11369,39862,,,,,,,,
10454,38751,,,,,,,,
11223,76651,,,,,,,,
11229,81351,,,,,,,,
10001,22767,,,,,,,,
11435,54523,,,,,,,,
11203,77011,,,,,,,,
11375,69652,,,,,,,,
11207,93465,,,,,,,,
11377,88939,,,,,,,,
10466,69657,,,,,,,,
11209,72582,,,,,,,,
11415,19020,,,,,,,,
11421,42745,,,,,,,,
11549,2337,,,,,,,,
10006,2950,,,,,,,,
11215,70156,,,,,,,,
11228,46059,,,,,,,,
11235,75622,,,,,,,,
10469,72241,,,,,,,,
11432,62395,,,,,,,,
11417,31556,,,,,,,,
11385,100132,,,,,,,,
10473,59948,,,,,,,,
11224,42698,,,,,,,,
11236,97714,,,,,,,,
11208,92262,,,,,,,,
11354,56433,,,,,,,,
11370,36271,,,,,,,,
10018,8062,,,,,,,,
10035,34760,,,,,,,,
11428,20461,,,,,,,,
10475,44582,,,,,,,,
11433,37927,,,,,,,,
11420,50162,,,,,,,,
11231,34605,,,,,,,,
11436,18609,,,,,,,,
11232,29452,,,,,,,,
11412,37690,,,,,,,,
11423,32053,,,,,,,,
11105,36816,,,,,,,,
11418,36751,,,,,,,,
11239,12943,,,,,,,,
10461,52435,,,,,,,,
11691,62577,,,,,,,,
11222,34580,,,,,,,,
11429,27506,,,,,,,,
11434,65255,,,,,,,,
11358,37634,,,,,,,,
10550,37421,,,,,,,,
10601,11524,,,,,,,,
10705,39817,,,,,,,,
14627,2703,,,,,,,,
11379,35725,,,,,,,,
11365,43138,,,,,,,,
11361,30352,,,,,,,,
11692,17970,,,,,,,,
11411,19177,,,,,,,,
11367,41582,,,,,,,,
11422,32589,,,,,,,,
11694,21507,,,,,,,,
11356,23800,,,,,,,,
10302,18043,,,,,,,,
10308,29805,,,,,,,,
11427,23460,,,,,,,,
11004,14045,,,,,,,,
10553,10032,,,,,,,,
11357,40588,,,,,,,,
11426,19348,,,,,,,,
11364,34902,,,,,,,,
10701,59628,,,,,,,,
11360,19916,,,,,,,,
10310,24719,,,,,,,,
10465,46360,,,,,,,,
11550,57224,,,,,,,,
11413,41689,,,,,,,,
10552,20339,,,,,,,,
11001,27156,,,,,,,,
11414,28742,,,,,,,,
10801,41265,,,,,,,,
11794,3317,,,,,,,,
11366,13146,,,,,,,,
10703,20894,,,,,,,,
14201,12872,,,,,,,,
11378,30854,,,,,,,,
11005,2123,,,,,,,,
10503,172,,,,,,,,
14853,2883,,,,,,,,
10606,17293,,,,,,,,
11234,95610,,,,,,,,
11693,11338,,,,,,,,
14222,14519,,,,,,,,
10704,31198,,,,,,,,
12222,5966,,,,,,,,
10805,18898,,,,,,,,
10304,41864,,,,,,,,
10301,39367,,,,,,,,
11003,44907,,,,,,,,
11580,41525,,,,,,,,
11010,25054,,,,,,,,
10470,14880,,,,,,,,
14619,15237,,,,,,,,
12210,9147,,,,,,,,
14213,23468,,,,,,,,
10305,41471,,,,,,,,
12307,6951,,,,,,,,
13203,16437,,,,,,,,
14607,16159,,,,,,,,
11563,22984,,,,,,,,
14209,8597,,,,,,,,
11501,19155,,,,,,,,
11575,16674,,,,,,,,
11101,25317,,,,,,,,
11561,37599,,,,,,,,
11363,7625,,,,,,,,
13902,6172,,,,,,,,
11516,7513,,,,,,,,
11040,40799,,,,,,,,
10471,21935,,,,,,,,
14621,34576,,,,,,,,
10707,10525,,,,,,,,
14215,39786,,,,,,,,
11596,10638,,,,,,,,
10474,12223,,,,,,,,
11520,43632,,,,,,,,
14208,10918,,,,,,,,
11565,8820,,,,,,,,
14216,22203,,,,,,,,
10312,61105,,,,,,,,
14301,12965,,,,,,,,
11726,21102,,,,,,,,
10303,24348,,,,,,,,
11756,42321,,,,,,,,
10307,15006,,,,,,,,
11553,26506,,,,,,,,
14605,13737,,,,,,,,
11570,27896,,,,,,,,
12206,15757,,,,,,,,
11762,23053,,,,,,,,
11021,17478,,,,,,,,
10708,22497,,,,,,,,
10306,54888,,,,,,,,
11581,20956,,,,,,,,
14217,22911,,,,,,,,
11362,17897,,,,,,,,
11510,33430,,,,,,,,
10573,38656,,,,,,,,
14214,19743,,,,,,,,
11590,45972,,,,,,,,
11518,10065,,,,,,,,
14608,12377,,,,,,,,
12604,660,,,,,,,,
11507,7224,,,,,,,,
14223,22901,,,,,,,,
12308,15187,,,,,,,,
14613,12212,,,,,,,,
10709,9347,,,,,,,,
11710,35151,,,,,,,,
14220,24525,,,,,,,,
11757,44923,,,,,,,,
11552,22949,,,,,,,,
11598,12927,,,,,,,,
13210,27905,,,,,,,,
10314,87524,,,,,,,,
14611,17773,,,,,,,,
11801,39805,,,,,,,,
11554,37513,,,,,,,,
14207,23285,,,,,,,,
11783,21170,,,,,,,,
10927,12060,,,,,,,,
11514,5197,,,,,,,,
13202,5745,,,,,,,,
14212,10974,,,,,,,,
10803,12523,,,,,,,,
10710,27388,,,,,,,,
14620,25689,,,,,,,,
10119,92,,,,,,,,
11023,9955,,,,,,,,
12209,11844,,,,,,,,
11572,28901,,,,,,,,
14609,44103,,,,,,,,
10977,60650,,,,,,,,
13205,18788,,,,,,,,
10603,17924,,,,,,,,
11717,59449,,,,,,,,
10004,3024,,,,,,,,
11714,23313,,,,,,,,
13208,22490,,,,,,,,
11566,33791,,,,,,,,
10566,23875,,,,,,,,
11701,27423,,,,,,,,
14211,20885,,,,,,,,
11703,16249,,,,,,,,
11722,37181,,,,,,,,
12208,21417,,,,,,,,
14204,8905,,,,,,,,
10309,33382,,,,,,,,
11704,40685,,,,,,,,
14616,28638,,,,,,,,
11758,55900,,,,,,,,
11784,26312,,,,,,,,
11579,5336,,,,,,,,
10543,20250,,,,,,,,
14261,5680,,,,,,,,
11803,28445,,,,,,,,
11096,7884,,,,,,,,
10538,16803,,,,,,,,
10952,41619,,,,,,,,
10522,11001,,,,,,,,
13204,19984,,,,,,,,
14206,21670,,,,,,,,
11729,27409,,,,,,,,
13501,38464,,,,,,,,
10923,8705,,,,,,,,
14604,1651,,,,,,,,
10993,5069,,,,,,,,
11558,8646,,,,,,,,
13207,13352,,,,,,,,
11577,12788,,,,,,,,
11795,25536,,,,,,,,
14210,13787,,,,,,,,
14226,28593,,,,,,,,
14445,7892,,,,,,,,
14802,4260,,,,,,,,
14614,1136,,,,,,,,
13206,15997,,,,,,,,
11542,27691,,,,,,,,
12202,9066,,,,,,,,
11950,16969,,,,,,,,
11530,28155,,,,,,,,
10968,2301,,,,,,,,
11741,28651,,,,,,,,
11755,12329,,,,,,,,
10960,15637,,,,,,,,
11776,25675,,,,,,,,
11767,15259,,,,,,,,
11706,65865,,,,,,,,
11720,29374,,,,,,,,
12801,14574,,,,,,,,
10605,17671,,,,,,,,
11731,28969,,,,,,,,
10954,23678,,,,,,,,
11557,7364,,,,,,,,
11793,32710,,,,,,,,
14778,1388,,,,,,,,
11709,6724,,,,,,,,
10804,14850,,,,,,,,
10528,12720,,,,,,,,
11738,17643,,,,,,,,
11727,29987,,,,,,,,
12304,22537,,,,,,,,
11569,1284,,,,,,,,
10530,12431,,,,,,,,
11718,3117,,,,,,,,
11798,15362,,,,,,,,
10583,39510,,,,,,,,
11751,14679,,,,,,,,
12929,3778,,,,,,,,
14610,13679,,,,,,,,
12305,4923,,,,,,,,
11735,32499,,,,,,,,
13219,15318,,,,,,,,
11020,6120,,,,,,,,
10706,8734,,,,,,,,
10607,6727,,,,,,,,
11779,38733,,,,,,,,
11753,11657,,,,,,,,
14606,29076,,,,,,,,
13224,8767,,,,,,,,
11725,28646,,,,,,,,
14202,3570,,,,,,,,
11789,7659,,,,,,,,
12085,507,,,,,,,,
11746,68580,,,,,,,,
14617,22776,,,,,,,,
14168,111,,,,,,,,
10983,5727,,,,,,,,
14225,33228,,,,,,,,
12183,2612,,,,,,,,
14150,41908,,,,,,,,
14043,24267,,,,,,,,
13088,22012,,,,,,,,
11796,4012,,,,,,,,
10965,14878,,,,,,,,
11772,45262,,,,,,,,
13475,41,,,,,,,,
12189,17675,,,,,,,,
12203,30926,,,,,,,,
11782,15045,,,,,,,,
14615,15579,,,,,,,,
14227,22950,,,,,,,,
13116,3492,,,,,,,,
11742,13229,,,,,,,,
13495,2304,,,,,,,,
10532,4906,,,,,,,,
14904,15411,,,,,,,,
13410,255,,,,,,,,
11050,30583,,,,,,,,
11740,9507,,,,,,,,
11715,4335,,,,,,,,
11576,12325,,,,,,,,
11030,17295,,,,,,,,
10502,5396,,,,,,,,
11548,2328,,,,,,,,
11790,18627,,,,,,,,
11752,9351,,,,,,,,
14303,6073,,,,,,,,
14720,603,,,,,,,,
13214,8938,,,,,,,,
11732,3671,,,,,,,,
10596,1629,,,,,,,,
10523,8563,,,,,,,,
14221,54109,,,,,,,,
11787,36357,,,,,,,,
10517,756,,,,,,,,
11754,19201,,,,,,,,
10591,23037,,,,,,,,
13417,2925,,,,,,,,
12601,42608,,,,,,,,
11967,27115,,,,,,,,
12417,762,,,,,,,,
14218,18943,,,,,,,,
14618,21367,,,,,,,,
10562,31453,,,,,,,,
14626,29735,,,,,,,,
14905,9414,,,,,,,,
14622,12042,,,,,,,,
14112,85,,,,,,,,
11763,29217,,,,,,,,
12466,2180,,,,,,,,
10996,6892,,,,,,,,
14305,17249,,,,,,,,
11705,7571,,,,,,,,
10533,7484,,,,,,,,
10594,5201,,,,,,,,
14068,7131,,,,,,,,
13090,30295,,,,,,,,
13643,72,,,,,,,,
11509,2232,,,,,,,,
14224,40002,,,,,,,,
10976,2266,,,,,,,,
12047,20086,,,,,,,,
13603,10727,,,,,,,,
10580,17322,,,,,,,,
12303,29906,,,,,,,,
10984,3117,,,,,,,,
13212,20348,,,,,,,,
10570,12592,,,,,,,,
11791,25213,,,,,,,,
11024,7789,,,,,,,,
11788,16167,,,,,,,,
10956,31090,,,,,,,,
12903,1086,,,,,,,,
11713,9530,,,,,,,,
11697,4078,,,,,,,,
10989,10113,,,,,,,,
11769,8716,,,,,,,,
14302,25,,,,,,,,
14514,6719,,,,,,,,
14612,34668,,,,,,,,
11547,797,,,,,,,,
11804,5000,,,,,,,,
12205,27395,,,,,,,,
12309,29992,,,,,,,,
12130,1025,,,,,,,,
14109,813,,,,,,,,
11951,13401,,,,,,,,
10920,8682,,,,,,,,
11797,8645,,,,,,,,
11766,12718,,,,,,,,
10537,1952,,,,,,,,
12204,7277,,,,,,,,
